ID,Crop Name,Variety,Block Name,Bed Start,Bed End,Succession Group,Planned Bedfeet,Planned Plant Date,Planned First Harvest Date,Planned Last Harvest Date,Planned Total Yield,Actual Bedfeet,Actual Plant Date,Actual First Harvest Date,Actual Last Harvest Date,Actual Total Yield,Status,Revision Of,Notes
P001,Tomato Beefsteak,San Marzano,North Field,1,4,,1200,2023-05-15,2023-07-29,2023-11-13,4200,1200,2023-05-17,2023-07-31,2023-11-08,4050,complete,,Early planting - good yields
P002,Tomato Beefsteak,Early Girl,North Field,5,8,,1200,2023-06-01,2023-08-15,2023-11-28,4200,1200,2023-06-03,2023-08-18,2023-11-20,3900,complete,,Succession planting
P003,Tomato Cherry,Sweet 100,South Tunnel,1,4,,600,2023-04-15,2023-06-19,2023-09-18,1680,600,2023-04-17,2023-06-21,2023-09-25,1750,complete,,High tunnel advantage
P004,Lettuce Mix,,North Field,9,10,,600,2023-03-20,2023-05-09,2023-06-13,720,600,2023-03-22,2023-05-10,2023-06-20,750,complete,,Spring crop - great condition
P005,Lettuce Mix,,North Field,9,10,,600,2023-06-12,2023-07-31,2023-09-04,720,550,2023-06-14,2023-08-02,2023-09-10,660,complete,,Summer succession
P006,Spinach,,South Tunnel,5,6,,300,2023-02-27,2023-04-10,2023-05-15,240,300,2023-03-01,2023-04-12,2023-05-20,270,complete,,Early spring
P007,Bell Pepper,Red Beauty,East Greenhouse,1,2,,400,2023-04-01,2023-06-20,2023-10-02,1000,400,2023-04-03,2023-06-25,2023-10-08,1100,complete,,Greenhouse production
P008,Carrot,Nantes,North Field,11,12,,600,2023-04-10,2023-06-24,2023-08-28,1080,600,2023-04-12,2023-06-26,2023-08-30,1020,complete,,Good root development
P009,Cucumber,Slicing,South Tunnel,7,8,,300,2023-05-01,2023-07-01,2023-08-12,660,280,2023-05-03,2023-07-03,2023-08-15,616,complete,,Slightly lower yield
P010,Basil,Genovese,East Greenhouse,3,3,,200,2023-04-15,2023-06-04,2023-09-18,400,200,2023-04-17,2023-06-06,2023-09-25,440,complete,,Good germination
P011,Garlic,German Extra Hardy,West Pasture,1,2,,900,2022-10-20,2023-07-24,2023-08-09,2700,900,2022-10-22,2023-07-26,2023-08-10,2650,complete,,Cloves planted fall 2022
P012,Potato,Russet,West Pasture,3,4,,600,2023-03-15,2023-06-14,2023-08-22,1500,600,2023-03-17,2023-06-16,2023-08-24,1425,complete,,Good tuber size
