Crop,Block Type,Field Week Start,Field Week End,Total Yield Per Bedfoot,Harvest Weeks,DTM Days To Maturity,Rows Per Bed,DS Seed Rate (seeds/ rowfoot),TP Inrow Spacing (ft),Seeder Settings,Trellis System,Mulch,Row Cover,Irrigation,Planned WTM,Actual or Planned Weekly Yield per Bedfoot,Weekly Yield Forecast
Artichoke,Field,17,30,0.5,6,80,1,,2,,,straw,,drip tape,11,,0.08
Arugula,Field,14,37,0.7,3,28,4,120,,XY-24 down (5-6/cell),,,Light,overhead,4,,0.23
Arugula,High Tunnel,1,52,1,14,42,4,120,,XY-24 down (5-6/cell),,,Light,overhead,6,,0.07
Arugula Wild,High Tunnel,1,52,1,6,48,4,,0.5,,,,,overhead & drip tape,7,,0.17
Asparagus,Field,1,52,0.25,4,112,1,,1,,,,,,16,,0.06
Basil,Field,20,31,6,6,35,2,,0.66,,,,,drip tape,5,,1
Bean Snap,High Tunnel,18,25,0.5,5,55,1,12,,,twine,landscape fabric,,drip tape,8,,0.1
Bean Snap TP,High Tunnel,18,25,0.5,5,55,1,,0.15,,twine,landscape fabric,,drip tape,8,,0.1
Beets Bulk Golden,Field,18,35,1.5,1,89,2,18,,C-12 down,,,,overhead & drip tape,13,,1.5
Beets Bulk Red,Field,18,35,1.5,1,89,2,18,,"C-12 down, X-24 up (check germ rate)",,,,overhead & drip tape,13,,1.5
Beets Golden,Field,18,35,1.3,4,60,2,18,,MJ-24 up,,,,overhead & drip tape,9,,0.33
Beets Red,Field,18,35,1.3,4,60,2,18,,MJ-24 up or X-24 up,,,,overhead & drip tape,9,,0.33
Bitter Melon,High Tunnel,20,25,0.5,6,42,1,,1,,twine,landscape fabric,,drip tape,6,,0.08
Bok Choy,Field,14,36,4,2,28,2,,0.5,,hoop,,Light,overhead & drip tape,4,,2
Bok Choy,High Tunnel,1,52,7,4,70,4,,0.33,,,,,overhead & drip tape,10,,1.75
Broccoli Raab,High Tunnel,4,20,1,2,42,3,,0.5,,,,,drip tape,6,,0.5
Broccoli Raab,Field,10,36,1,2,42,2,,0.25,,,,Light,overhead & drip tape,6,,0.5
Broccolini,Field,14,52,0.7,4,56,1,,1,,,,,drip tape,8,,0.18
Broccolini,High Tunnel,4,20,0.7,4,77,1,,1,,,,,drip tape,11,,0.18
Brussels Sprouts,Field,14,28,0.5,3,110,1,,2,,,,,drip tape,16,,0.17
Cabbage Chinese,Field,14,34,1,3,63,1,,1,,,,,drip tape,9,,0.33
Cabbage Chinese Red,Field,14,31,1,3,63,1,,1,,,,,drip tape,9,,0.33
Cabbage Cone,Field,14,31,1,4,77,1,,1,,,,,drip tape,11,,0.25
Cabbage Cone Storage,Field,14,31,1,6,77,1,,1,,,,,drip tape,11,,0.17
Cabbage Flat,Field,14,31,1,4,77,1,,1,,,,,drip tape,11,,0.25
Cabbage Green Storage,Field,14,31,1,10,140,1,,1,,,,,drip tape,20,,0.1
Cabbage Red,Field,14,31,1,4,77,1,,1,,,,,drip tape,11,,0.25
Cabbage Savoy,Field,14,31,1,4,77,1,,1,,,,,drip tape,11,,0.25
Carrot,Field,18,31,0.66,3,70,2,50,,XY-24 Down ,,,,overhead & drip tape,10,,0.22
Carrot Bulk,Field,18,31,2,3,85,2,42,,XY-24 Down ,,,,overhead & drip tape,12,,0.67
Cauliflower,Field,14,31,1,6,98,1,,1,,,,,drip tape,14,,0.17
Cauliflower Purple,Field,14,30,1,6,98,1,,1,,,,,drip tape,14,,0.17
Cauliflower Romanesco,Field,14,30,1,6,98,1,,1,,,,,drip tape,14,,0.17
Cauliflower Sprouting,Field,14,31,1,5,70,1,,1,,,,,drip tape,10,,0.2
Celery,Field,14,36,1.5,4,70,2,,0.5,,,,,drip tape,10,,0.38
Chard,Field,14,35,1.5,4,49,1,,0.5,,,,,drip tape,7,,0.38
Chard,High Tunnel,1,52,1.5,16,84,3,,1,,,,,drip tape,12,,0.09
Cilantro,Field,13,36,3,2,56,2,100,,C-12 down,,,,overhead & drip tape,8,,1.5
Cilantro,High Tunnel,1,52,3,4,72,3,100,,C-12 down,,,,overhead & drip tape,10,,0.75
Collards,Field,14,35,1.5,7,42,1,,1,,,,Light,drip tape,6,,0.21
Cucumber,High Tunnel,1,52,2.5,6,42,1,,1,,twine,landscape fabric,,drip tape,6,,0.42
Cucumber Katrina,High Tunnel,1,52,1.2,4,38,1,,1,,twine,landscape fabric,,drip tape,5,,0.3
Cucumber Pickling,High Tunnel,1,52,1.2,4,49,1,,1,,twine,landscape fabric,,drip tape,7,,0.3
Dandelion,Field,14,45,2,8,49,2,,0.5,,,,,drip tape,7,,0.25
Dandelion,High Tunnel,1,52,2,10,80,3,,0.5,,,,,drip tape,11,,0.2
Dill,Field,15,32,3,2,50,2,40,,XY-24 down,,,,overhead & drip tape,7,,1.5
Dry Beans,Field,18,20,0.5,1,95,2,8,,,4' oak stakes + twine,,,,14,,0.5
